round,variable,value
1,LEC,1.0
2,LEC,1.0
3,LEC,1.0
1,SAI,2.0
2,SAI,2.0
3,SAI,3.0
1,HAM,3.0
2,HAM,5.0
3,HAM,5.0
1,RUS,4.0
2,RUS,4.0
3,RUS,2.0
1,MAG,5.0
2,MAG,8.0
3,MAG,9.0
1,BOT,6.0
2,BOT,9.0
3,BOT,10.0
1,OCO,7.0
2,OCO,6.0
3,OCO,7.0
1,TSU,8.0
2,TSU,11.0
3,TSU,13.0
1,ALO,9.0
2,ALO,13.0
3,ALO,14.0
1,ZHO,10.0
2,ZHO,14.0
3,ZHO,15.0
1,MSC,11.0
2,MSC,15.0
3,MSC,17.0
1,STR,12.0
2,STR,16.0
3,STR,18.0
1,ALB,13.0
2,ALB,18.0
3,ALB,16.0
1,RIC,14.0
2,RIC,19.0
3,RIC,11.0
1,NOR,15.0
2,NOR,10.0
3,NOR,8.0
1,LAT,16.0
2,LAT,20.0
3,LAT,20.0
1,HUL,17.0
2,HUL,17.0
3,HUL,19.0
1,PER,18.0
2,PER,7.0
3,PER,4.0
1,VER,19.0
2,VER,3.0
3,VER,6.0
1,GAS,20.0
2,GAS,12.0
3,GAS,12.0
1,VET,21.0
2,VET,21.0
3,VET,21.0
